card_id,card_title,content_type,content_tags,rating,rating_source,is_active
43,WWE 2K26,game,"game,wwe,battle_rap",,,1
44,Demon's souls,game,"game,demon_souls",,,1
45,Видео Tanakaboss,videos,"videos,tanakaboss",,,1
46,Очень странные дела,series,"series,st",,,1
47,Пашины хайлайты и их просмотры,videos,"best,videos",,,1
48,Сапер,game,"game,minesweeper",,,1
49,FIFA,game,"game,fifa",,,1
50,Особняк милф,degrod,"videos,degrod,milf",,,1
51,Hunt: Showdown,game,"game,hunt",,,1
52,GTA,game,"game,gta",,,1
53,Сорвиголова + Сорвиголова: Рождённый заново,series,"daredevil,series",8,telegram,1
54,Dark Souls,game,"game,dark_souls",,,1
55,Detroit: Become Human,game,"game,dbh",,,1
56,Хулиганский дегрод,degrod,"degrod,dima",,,1
57,24 ЧАСА,videos,"videos,24h",,,1
